collision_index,casualty_reference,casualty_class,casualty_severity,sex_of_casualty,age_band_of_casualty
452,1,1,3,1,7
453,1,1,3,1,6
454,2,2,3,2,-1
455,1,1,3,1,8
456,1,2,3,1,5
457,1,1,3,1,5
458,1,1,3,1,3
459,1,1,3,1,5
460,1,3,3,1,9
461,1,1,3,1,6
462,1,1,2,1,5
463,2,1,3,1,7
464,1,1,3,2,7
465,1,3,3,2,7
466,1,1,3,1,4
467,1,1,3,1,6
468,1,3,1,2,6
469,1,1,3,2,6
470,1,1,3,1,8
471,1,1,3,-1,6
472,1,1,3,2,6
473,1,3,2,1,9
474,1,3,2,1,11
475,1,3,2,2,7
476,1,1,3,1,5
477,1,1,3,1,9
478,1,3,3,2,5
479,1,1,3,1,6
480,1,1,3,2,5
481,1,3,2,2,7
482,1,1,3,1,5
483,1,1,3,1,7
484,1,1,3,1,8
485,1,1,3,1,8
486,1,1,3,1,7
487,1,3,2,1,4
488,1,1,3,2,10
489,1,1,3,1,6
490,1,3,3,1,7
491,1,1,3,1,10
492,1,1,3,1,8
493,1,3,3,1,6
494,1,1,3,1,7
495,1,2,3,2,10
496,1,1,3,2,6
497,1,3,3,2,9
498,1,3,3,1,8
499,1,3,3,2,3
500,1,3,2,1,8
501,1,1,3,1,6
502,1,3,1,1,11
503,1,2,3,2,-1
504,1,1,3,1,7
505,1,2,3,1,-1
506,1,3,3,1,2
507,1,3,3,1,9
508,1,1,3,1,9
509,2,2,3,2,8
510,3,2,3,1,5
511,4,2,3,1,6
512,5,2,3,1,6
513,6,2,3,1,6
514,1,1,3,1,6
515,1,1,3,1,7
516,1,1,3,2,6
517,1,1,3,2,6
518,1,3,3,2,-1
519,1,1,2,2,6
520,1,1,3,1,6
521,1,1,3,1,6
522,1,1,3,1,4
523,1,1,3,-1,7
524,1,2,3,2,11
525,1,2,2,1,11
526,1,3,3,1,9
527,1,3,3,2,7
528,1,1,3,-1,7
529,1,3,3,2,11
530,1,1,3,1,5
531,1,1,3,1,6
532,1,2,3,-1,-1
533,1,3,3,2,7
534,1,3,2,1,3
535,1,1,3,2,6
536,1,1,3,1,8
537,2,1,2,2,10
538,3,2,2,1,10
539,1,3,2,2,8
540,1,2,3,1,2
541,1,1,3,1,5
542,2,2,3,1,4
543,1,3,1,1,11
544,1,1,3,2,7
545,2,1,3,1,8
546,3,2,3,2,7
547,1,1,2,1,6
548,1,1,3,2,6
549,1,2,3,2,8
550,1,1,3,1,6
551,1,3,3,2,4
552,1,3,3,1,1
553,1,1,3,2,7
